ID,Age,UseByTime,AthleticsActivities,WaterActivities,FitnessActivities,TeamActivities,RacketActivities,CombatActivities,SpecialActivities,OtherActivities,Dropout,Active_Period,Contract_Duration,PercentageOfVisits,MonthlyValue,PercentageOfClasses,Freq_Visits_Day,Visits_ActivePeriod,Gender_Female
10000,3.0833333333333335,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.4908675799086758,1.15,3.017064846416382,1.8665706743460522,0.7634194831013917,-0.20146520146520147,1
10001,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.9890710382513661,0.2853881278538813,-0.20000000000000004,0.6075085324232082,0.10439164866810653,-0.2047713717693837,-0.5018315018315017,1
10002,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.01639344262295082,-0.5547945205479452,0.5,0.4939054119941493,0.0,1.208747514910537,0.619047619047619,0
10003,-1.1666666666666667,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.9890710382513661,-0.2579908675799087,0.35000000000000003,0.1760117016089712,0.23998080153587711,0.463220675944334,-0.30036630036630035,0
10004,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.01639344262295082,1.1529680365296804,-0.5,-0.6114090687469527,0.0,-0.25546719681908553,-0.6007326007326007,0
10005,0.08333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.994535519125683,-0.0684931506849315,1.6999999999999997,-0.364212579229644,0.0,0.3658051689860835,2.007326007326007,1
10006,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.01639344262295082,2.3059360730593608,0.0,-1.16869819600195,0.0,-0.6093439363817097,0.01098901098901092,0
10007,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.01639344262295082,3.0045662100456623,0.3999999999999999,-1.1155533885909312,0.0,-0.5666003976143141,1.637362637362637,0
10008,0.5,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,-0.01639344262295082,0.3470319634703196,-0.5,-0.5421745490004874,0.0,-0.6391650099403579,-0.6007326007326007,0
10009,-0.75,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.9890710382513661,-0.1461187214611872,-0.5,0.7206240858117992,2.3998080153587713,-0.49403578528827036,-0.6007326007326007,1
10010,-0.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.994535519125683,0.0273972602739726,-0.25,-0.6967333008288639,0.0,-0.39562624254473155,-0.30036630036630035,1
10011,0.5,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,-0.01639344262295082,0.8082191780821918,1.7999999999999998,0.04241833252072164,0.0,2.2962226640159047,5.098901098901098,1
10012,3.3333333333333335,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9890710382513661,0.1461187214611872,-0.25,0.46806435884934183,0.0,-0.1600397614314115,-0.30036630036630035,1
10013,-0.9166666666666666,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9890710382513661,0.06621004566210045,-0.5,-0.3174061433447098,0.0,-0.7465208747514911,-0.6007326007326007,1
10014,0.4166666666666667,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.01639344262295082,-0.1963470319634703,0.35000000000000003,-0.17259873232569473,0.0,4.111332007952286,1.4358974358974357,0
10015,0.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.03424657534246575,0.5499999999999999,-1.0511945392491466,0.0,-0.5725646123260437,0.6007326007326007,0
10016,2.0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,3.598173515981735,0.5499999999999999,-0.6548025353486103,0.0,0.8121272365805169,1.2014652014652012,0
10017,1.3333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.13926940639269406,-0.25,-0.4349098000975133,0.0,1.2147117296222665,0.0,1
10018,-0.3333333333333333,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.9890710382513661,0.23059360730593606,1.2499999999999998,-0.1584592881521209,0.0,1.7455268389662029,0.608058608058608,0
10019,0.4166666666666667,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,-0.5547945205479452,-0.10000000000000002,1.1960019502681618,0.0,-0.11630218687872766,-0.20146520146520147,0
10020,0.5833333333333334,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.994535519125683,0.8584474885844748,-0.5,0.16187225743539738,0.0,-0.15109343936381703,-0.6007326007326007,0
10021,0.25,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.9890710382513661,-0.2557077625570776,-0.5,0.49000487567040485,0.0,-0.2852882703777336,-0.6007326007326007,1
10022,1.6666666666666667,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1.9836065573770492,0.1643835616438356,-0.45,0.22184300341296948,2.3998080153587713,-0.23161033797216696,-0.5347985347985348,1
10023,0.08333333333333333,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9890710382513661,1.917808219178082,1.5999999999999996,0.011701608971233641,2.3998080153587713,1.069582504970179,0.5054945054945054,0
10024,1.75,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.994535519125683,0.3995433789954338,0.15,-0.243295953193564,0.0,0.37475149105367794,0.20146520146520136,1
