ID,Age,UseByTime,AthleticsActivities,WaterActivities,FitnessActivities,TeamActivities,RacketActivities,CombatActivities,SpecialActivities,OtherActivities,HasReferences,NumberOfReferences,Dropout,Active_Period,Contract_Duration,PercentageOfVisits,TotalNumberOfActivities,MonthlyValue,PercentageOfClasses,Freq_Visits_Day,Freq_Classes_Contract,Visits_ActivePeriod,Gender_Female
10034,4.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183,30,0.13,1,38.5,0.0,0.1333,0.0,0.0219,1
10035,-0.3333333333333333,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,183,439,0.05,2,22.79,0.0,0.1298,0.0,0.0164,1
10036,-0.8333333333333334,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0,183,1855,0.29,3,37.46,83.42,0.1073,0.0895,0.0273,1
10037,0.4166666666666667,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,365,98,0.08,1,28.53,0.0,0.2245,0.0,0.0137,0
10038,1.25,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183,397,0.96,1,46.22,98.43,0.3199,0.3149,0.1366,1
10039,1.9166666666666667,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180,143,0.17,2,48.1,0.0,0.0629,0.0,0.0278,1
10040,0.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,365,184,0.1,1,37.72,0.0,0.1522,0.0,0.0164,1
10041,-0.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,124,0.03,1,22.48,0.0,0.0645,0.0,0.0027,0
10042,-0.08333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,180,185,0.07,1,16.1,0.0,0.0595,0.0,0.0222,1
10043,-0.08333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,183,350,0.45,1,6.7,0.0,0.0829,0.0,0.071,1
10044,0.9166666666666666,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,364,931,0.2,2,18.86,0.0,0.13,0.0,0.033,1
