ID,Age,UseByTime,AthleticsActivities,WaterActivities,FitnessActivities,TeamActivities,RacketActivities,CombatActivities,SpecialActivities,OtherActivities,Dropout,Contract_Duration,PercentageOfVisits,PercentageOfClasses,Freq_Visits_Day,Freq_Classes_Contract,Visits_ActivePeriod,Gender_Female
21733,-0.08333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.14840182648401826,0.24999999999999994,0.0,-0.014910536779324069,0.0,1.2307692307692308,1
21734,3.75,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2.58675799086758,-0.39999999999999997,0.0,-0.36878727634194824,0.0,-0.39560439560439553,0
21735,0.25,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.356164383561644,0.9499999999999998,2.3170146388288937,0.5506958250497018,10.253968253968255,-0.09890109890109892,1
21736,-1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0684931506849315,-0.5,2.3998080153587713,0.4343936381709742,9.69047619047619,-0.6007326007326007,1
21737,-0.3333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.273972602739726,1.2,0.0,2.3827037773359843,0.0,1.5128205128205128,1
21738,0.08333333333333333,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.0547945205479452,-0.10000000000000002,0.0,-0.3797216699801193,0.0,0.41025641025641013,1
21739,0.25,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.2374429223744292,0.0,0.0,-0.6023856858846919,0.0,0.01098901098901092,1
21740,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-0.1415525114155251,1.6499999999999997,0.0,0.4930417495029822,0.0,0.6007326007326007,1
21741,-0.3333333333333333,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,-0.20319634703196346,0.0,0.0,0.9493041749502983,0.0,0.6117216117216114,1
21742,0.16666666666666666,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0776255707762557,-0.15,0.0,-0.7147117296222664,0.0,-0.20146520146520147,0
